,county_name,fips,min_lat,max_lat,min_lng,max_lng,population
109,Fairfax_County,51059,38.605616999999995,39.057678,-77.53671800000001,-77.041362,1147532
54,Prince William,51153,38.499672,38.942822,-77.715591,-77.21898900000001,470335
128,Virginia Beach,51810,36.550453000000005,37.040886,-76.22776,-75.79749699999999,449974
112,Loudoun,51107,38.846368,39.324558,-77.961956,-77.32831800000001,413538
121,Chesterfield,51041,37.216994,37.562631,-77.878422,-77.244167,352802
43,Henrico,51087,37.351954,37.710411,-77.654889,-77.176982,330818
37,Chesapeake,51550,36.550447,36.866549,-76.491497,-76.06555300000001,244835
79,Norfolk,51710,36.820757,37.040886,-76.345569,-76.133872,242742
58,Arlington,51013,38.827290000000005,38.934343,-77.172169,-77.032143,236842
132,richmond,51760,37.446553,37.602446,-77.601011,-77.385322,230436
60,Newport News,51700,36.930690999999996,37.220645000000005,-76.64609300000001,-76.36161,179225
11,Alexandria,51510,38.785216,38.845011,-77.144359,-77.037288,159428
6,Stafford,51179,38.242225,38.592499,-77.635265,-77.286202,152882
120,Spotsylvania,51177,37.990928000000004,38.378107,-77.954819,-77.370301,136215
124,Hampton,51650,36.924772,37.121231,-76.45116999999999,-76.133748,134510
1,Albemarle,51003,37.722657,38.277923,-78.83921099999999,-78.20809200000001,109330
8,Hanover,51085,37.536398,38.008283,-77.79692,-77.10795999999999,107766
36,Roanoke,51770,37.211227,37.337416999999995,-80.037598,-79.87807600000001,99143
3,Montgomery,51121,36.981477000000005,37.366792,-80.614999,-80.17639799999999,98535
72,Portsmouth,51740,36.786062,36.951059,-76.42036800000001,-76.289962,94398
67,Roanoke_county,51161,37.108156,37.422305,-80.262061,-79.83963,94186
108,Suffolk,51800,36.550344,36.941891,-76.930936,-76.399567,92108
125,Frederick,51069,39.007884000000004,39.466012,-78.54409,-78.033191,89313
103,Lynchburg,51680,37.33258,37.469304,-79.27176800000001,-79.08524399999999,82168
115,Rockingham,51165,38.206621000000005,38.850102,-79.22434100000001,-78.486003,81948
49,Bedford,51019,37.005876,37.618163,-79.858058,-79.183302,78997
5,James City,51095,37.153827,37.467076,-76.915863,-76.577675,76523
68,Augusta,51015,37.881586999999996,38.477844,-79.533311,-78.749354,75558
40,Fauquier,51061,38.409155,39.013841,-78.130849,-77.530914,71222
113,York,51199,37.091894,37.380139,-76.755511,-76.13552,68280
51,Pittsylvania,51143,36.540759,37.137454,-79.714855,-79.092264,60354
47,Franklin_county,51067,36.780752,37.233073,-80.235455,-79.592295,56042
102,Campbell,51031,37.022288,37.433663,-79.44288399999999,-78.824209,54885
66,Washington,51191,36.59418,36.929013,-82.332089,-81.605335,53740
45,Harrisonburg,51660,38.389363,38.489258,-78.918112,-78.824253,53016
114,Culpeper,51047,38.308505,38.698923,-78.231978,-77.618727,52605
10,Henry,51089,36.541938,36.856139,-80.095141,-79.640652,50557
2,Charlottesville,51540,38.009584000000004,38.070591,-78.523637,-78.446311,47266
73,Shenandoah,51171,38.604719,39.102828,-78.869276,-78.30054399999999,43616
117,Manassas,51683,38.705681,38.781414,-77.526457,-77.44751,41085
111,Tazewell,51185,36.933014,37.338099,-81.90178900000001,-81.225104,40595
116,Warren,51187,38.756986,39.036277,-78.386682,-78.00416700000001,40164
69,Danville,51590,36.540822,36.644537,-79.519301,-79.302583,40044
123,Prince George,51149,36.992985,37.321092,-77.399203,-76.97243900000001,38353
104,Louisa,51109,37.729069,38.152531,-78.306607,-77.687294,37591
96,Wise,51195,36.798966,37.202853999999995,-82.87855400000001,-82.298594,37383
26,Gloucester,51073,37.233315999999995,37.603173999999996,-76.712305,-76.3045,37348
39,Isle of Wight,51093,36.64405,37.153827,-76.930272,-76.445301,37109
30,Orange,51137,38.117437,38.393037,-78.36979699999999,-77.703189,37051
80,Pulaski,51155,36.879001,37.244911,-80.930627,-80.51515699999999,34027
71,Halifax,51083,36.541533,37.061498,-79.218638,-78.549228,33911
84,Botetourt,51023,37.309177000000005,37.800989,-80.073985,-79.498553,33419
75,Accomack,51001,37.448562,38.027934,-76.236458,-75.16643499999999,32316
18,Amherst,51009,37.385697,37.814152,-79.436926,-78.867634,31605
106,Petersburg,51730,37.164572,37.244993,-77.454954,-77.330603,31346
126,Caroline,51033,37.776297,38.252742,-77.643367,-77.06871,30725
131,Mecklenburg,51117,36.54094,36.891220000000004,-78.740275,-78.027411,30587
65,Smyth,51173,36.634318,37.018423999999996,-81.836842,-81.26162,30104
59,Carroll,51035,36.557833,36.931779999999996,-81.042406,-80.453723,29791
27,Powhatan,51145,37.414835,37.691687,-78.132048,-77.653987,29652
97,Fredericksburg,51630,38.270245,38.326445,-77.532686,-77.447126,29036
53,Wythe,51197,36.757621,37.073405,-81.379427,-80.740483,28684
78,Dinwiddie,51053,36.873752,37.270971,-77.900338,-77.394645,28544
62,Winchester,51840,39.13097,39.204733000000004,-78.200731,-78.136953,28078
95,Fluvanna,51065,37.690308,38.006399,-78.491567,-78.06331,27270
99,King George,51099,38.141131,38.401022,-77.34755899999999,-76.99767,26836
9,Russell,51167,36.709309000000005,37.142546,-82.406633,-81.780539,26586
0,Salem,51775,37.252635,37.324293,-80.12049,-80.013363,25301
86,Staunton,51790,38.121112,38.199228000000005,-79.113524,-79.011313,24932
42,Fairfax,51600,38.832797,38.871996,-77.335052,-77.268624,24019
88,Page,51139,38.421486,38.830152000000005,-78.691362,-78.28487700000001,23902
29,Goochland,51075,37.562631,37.90524,-78.159278,-77.616428,23753
110,Lee,51105,36.593714,36.893346,-83.675395,-82.77130799999999,23423
48,New Kent,51127,37.377665,37.626881,-77.23505899999999,-76.741984,23091
100,Prince Edward,51147,37.078171000000005,37.398019,-78.692549,-78.231234,22802
13,Waynesboro,51820,38.031569,38.099978,-78.951484,-78.855616,22630
90,Rockbridge,51163,37.532887,38.086104999999996,-79.68871999999999,-79.143367,22573
