,county_name,fips,min_lat,max_lat,min_lng,max_lng,population
204,Los Angeles,6037,32.750040000000006,34.823302000000005,-118.95172099999999,-117.646374,10039107
610,Cook,17031,41.469524,42.154292,-88.26350699999999,-87.111162,5150233
2623,Harris,48201,29.497339,30.170606,-95.96073299999999,-94.90849200000001,4713325
103,Maricopa,4013,32.504938,34.04817,-113.33443600000001,-111.039905,4485414
222,San Diego,6073,32.528832,33.505025,-117.611081,-116.08093999999998,3338330
215,Orange,6059,33.333991999999995,33.947514,-118.1259,-117.41298700000002,3175692
362,Miami-Dade,12086,25.137420000000002,25.979434,-80.8736,-80.042754,2716940
2579,Dallas,48113,32.545214,32.989328,-97.03838499999999,-96.51686600000001,2635516
1851,Kings,36047,40.551041999999995,40.739446,-74.05663,-73.833365,2559903
218,Riverside,6065,33.425888,34.079884,-117.676286,-114.434949,2470546
1748,Clark,32003,35.001857,36.853662,-115.896925,-114.042819,2266715
1868,Queens,36081,40.489794,40.812242,-74.042112,-73.700272,2253858
2970,King,53033,47.084457,47.780328000000004,-122.541068,-121.06570900000001,2252782
221,San Bernardino,6071,33.870831,35.809236,-117.802539,-114.13121100000001,2180085
2742,Tarrant,48439,32.548662,32.994194,-97.55058199999999,-97.032287,2102515
2537,Bexar,48029,29.114434999999997,29.760713,-98.806552,-98.116902,2003554
325,Broward,12011,25.95675,26.355546999999998,-80.881233,-80.015276,1952778
228,Santa Clara,6085,36.892976000000004,37.484637,-122.202653,-121.208178,1927852
1312,Wayne,26163,42.02793,42.451713,-83.551907,-82.74990799999999,1749343
186,Alameda,6001,37.454389,37.905823999999996,-122.373782,-121.469214,1671329
1858,New York,36061,40.679548,40.882214000000005,-74.047285,-73.907,1628706
1225,Middlesex,25017,42.156782,42.736670000000004,-71.89871600000001,-71.020377,1611699
2294,Philadelphia,42101,39.867004,40.137992,-75.280266,-74.955763,1584064
219,Sacramento,6067,38.018421000000004,38.736405,-121.862622,-121.027084,1552058
369,Palm Beach,12099,26.320755,26.970943,-80.88623199999999,-79.974306,1496770
1879,Suffolk,36103,40.534265000000005,41.310387,-73.497405,-71.777491,1476601
347,Hillsborough,12057,27.57055,28.173378999999997,-82.823669,-82.054012,1471968
1830,Bronx,36005,40.785743,40.917577,-73.933808,-73.74806,1418207
367,Orange,12095,28.346828000000002,28.786089,-81.658599,-80.86290799999999,1393452
1857,Nassau,36059,40.520505,40.989009,-73.78019300000001,-73.423253,1356924
2067,Franklin,39049,39.794996000000005,40.143087,-83.26087700000001,-82.761827,1316756
2749,Travis,48453,30.024499,30.628249,-98.172977,-97.369539,1273954
1340,Hennepin,27053,44.785303000000006,45.246618,-93.767799,-93.177201,1265843
1293,Oakland,26125,42.431179,42.888647,-83.689438,-83.083393,1257584
2060,Cuyahoga,39035,41.275044,42.096402000000005,-81.971262,-81.374772,1235072
2245,Allegheny,42003,40.194342999999996,40.674935,-80.360873,-79.688761,1216045
2794,Salt Lake,49035,40.414120000000004,40.92205,-112.26351000000001,-111.55308400000001,1160437
192,Contra Costa,6013,37.718629,38.099878000000004,-122.441584,-121.534102,1153526
2848,Fairfax_County,51059,38.605616999999995,39.057678,-77.53671800000001,-77.041362,1147532
1981,Wake,37183,35.519081,36.076268,-78.99505400000001,-78.254903,1111761
1949,Mecklenburg,37119,35.001709999999996,35.515103,-81.058029,-80.550297,1110356
446,Fulton,13121,33.502412,34.186289,-84.850713,-84.09769200000001,1063937
1207,Montgomery,24031,38.934343,39.353502,-77.52768499999999,-76.88850500000001,1050688
106,Pima,4019,31.426075,32.514188,-113.33410500000001,-110.447322,1047279
2565,Collin,48085,32.98149,33.405504,-96.84398399999999,-96.295057,1034730
195,Fresno,6019,35.906914,37.585837,-120.91873100000001,-118.36058600000001,999101
1578,St. Louis,29189,38.388298,38.891184,-90.73653,-90.117707,994205
371,Pinellas,12103,27.610273,28.173346000000002,-82.908909,-82.54061800000001,974996
547,Honolulu,15003,21.199238,28.517269,-178.443593,-157.597288,974563
1887,Westchester,36119,40.871721,41.366375,-73.983284,-73.48269499999999,967506
745,Marion,18097,39.632177,39.927392,-86.328121,-85.937379,964582
334,Duval,12031,30.103748,30.586232,-82.049502,-81.316712,957755
3088,Milwaukee,55079,42.842117,43.192581,-88.069947,-87.069419,945726
308,Fairfield,9001,40.950943,41.666723,-73.727775,-72.99954699999999,943332
2506,Shelby,47157,34.994188,35.409483,-90.310298,-89.632776,937166
453,Gwinnett,13135,33.752808,34.167873,-84.276822,-83.799104,936250
1775,Bergen,34003,40.762114000000004,41.133995,-74.27248399999999,-73.893979,932202
616,DuPage,17043,41.685340000000004,41.994031,-88.263178,-87.914265,922921
1842,Erie,36029,42.437996999999996,43.098704999999995,-79.312136,-78.46204499999999,918702
1208,Prince George's,24033,38.535371999999995,39.131353999999995,-77.086391,-76.669515,909327
2980,Pierce,53053,46.727986,47.404016,-122.85295,-121.373496,904980
200,Kern,6029,34.790609,35.798202,-120.194152,-117.61619499999999,900202
309,Hartford,9003,41.544697,42.038854,-73.029537,-72.40787399999999,891720
2583,Denton,48121,32.987553999999996,33.430462,-97.39848,-96.83400400000001,887207
223,San Francisco,6075,37.639829999999996,37.929823999999996,-123.173825,-122.28178,881549
1280,Macomb,26099,42.447055,42.897541,-83.102891,-82.705966,873972
2630,Hidalgo,48215,26.036338,26.783081,-98.586715,-97.861674,868707
312,New Haven,9009,41.087108,41.644311,-73.327114,-72.527901,854757
241,Ventura,6111,33.163493,34.901274,-119.636302,-118.63249499999999,846006
2593,El Paso,48141,31.387158000000003,32.002533,-106.645646,-105.954328,839238
2289,Montgomery,42091,39.976959,40.446995,-75.696782,-75.015066,830915
1230,Worcester,25027,42.008065,42.721548999999996,-72.31599399999999,-71.47802800000001,830622
1195,Baltimore,24005,39.156622999999996,39.721302,-76.895596,-76.287689,827370
1785,Middlesex,34023,40.251121999999995,40.608903000000005,-74.630101,-74.203688,825062
2984,Snohomish,53061,47.775284,48.299232,-122.458331,-120.90621100000001,822083
2073,Hamilton,39061,39.021534,39.312056,-84.820305,-84.256506,817473
2233,Multnomah,41051,45.432712,45.728687,-122.929226,-121.820394,812855
2601,Fort Bend,48157,29.262590000000003,29.78828,-96.088912,-95.424118,811688
1229,Suffolk,25025,42.22788,42.450096,-71.19115500000001,-70.648072,803907
1780,Essex,34013,40.673903,40.90889,-74.377517,-74.112787,798975
2185,Oklahoma,40109,35.37686,35.72598,-97.674058,-97.140757,797434
1221,Essex,25009,42.384098,42.886790000000005,-71.256103,-70.502143,789034
354,Lee,12071,26.316234,26.789551,-82.33504,-81.56218,770577
1048,Jefferson,21111,37.997209999999995,38.380263,-85.947114,-85.404899,766757
226,San Mateo,6081,37.053858,37.708431,-122.588177,-122.081473,766573
224,San Joaquin,6077,37.481783,38.300252,-121.585078,-120.92066499999999,762148
419,Cobb,13067,33.743507,34.081433000000004,-84.739636,-84.374728,760141
430,DeKalb,13089,33.614666,33.970911,-84.350224,-84.023713,759297
1855,Monroe,36055,42.939964,43.632084000000006,-77.99729,-77.371364,741770
260,Denver,8031,39.614337,39.914246999999996,-105.109927,-104.600302,727211
372,Polk,12105,27.643238,28.361867999999998,-82.106236,-81.13104399999999,724777
265,El Paso,8041,38.51944,39.129917,-105.072529,-104.051568,720403
1227,Norfolk,25021,41.984998,42.375098,-71.50315,-70.67569,706775
319,District of Columbia,11001,38.791645,38.995548,-77.119759,-76.90939300000001,705749
1530,Jackson,29095,38.833006,39.237107,-94.608457,-94.104823,703011
643,Lake,17097,42.149409000000006,42.495637,-88.199763,-87.019935,696535
2446,Davidson,47037,35.967785,36.405496,-87.054766,-86.515588,694144
693,Will,17197,41.201546,41.72893,-88.26146800000001,-87.525591,690743
1795,Bernalillo,35001,34.869023999999996,35.219639,-107.19617,-106.149575,679121
1782,Hudson,34017,40.642148999999996,40.823569,-74.166087,-73.984883,672391
36,Jefferson,1073,33.245995,33.843237,-87.341698,-86.516662,658573
1271,Kent,26081,42.768099,43.294405,-85.790662,-85.309626,656955
246,Arapahoe,8005,39.563601,39.740835,-105.05424,-103.706547,656590
2202,Tulsa,40143,35.8559,36.423752,-96.29809,-95.761463,651552
2314,Providence,44007,41.724563,42.0188,-71.799242,-71.31777,638931
2801,Utah,49049,39.776126,40.578003,-112.21426799999999,-110.857321,636235
2252,Bucks,42017,40.048595,40.608579999999996,-75.48405699999999,-74.721519,628270
1786,Monmouth,34025,40.07913,40.52554,-74.614246,-73.88506,618795
2692,Montgomery,48339,30.027748,30.630284000000003,-95.83024,-95.09670799999999,607391
1788,Ocean,34029,39.475198,40.172354999999996,-74.553105,-73.965414,607186
933,Johnson,20091,38.738078,39.061388,-95.056497,-94.607382,602401
324,Brevard,12009,27.822058000000002,28.791396000000002,-80.98725,-80.385069,601942
2241,Washington,41067,45.317128000000004,45.780105,-123.48614199999999,-122.74351000000001,601592
1216,Baltimore,24510,39.197207,39.372206,-76.711519,-76.529453,593490
2768,Williamson,48491,30.402843,30.906188,-98.049886,-97.15521899999999,590551
274,Jefferson,8059,39.129543,39.914386,-105.39915,-105.04874,582881
1194,Anne Arundel,24003,38.711099,39.237398,-76.840362,-76.349479,579234
1681,Douglas,31055,41.189999,41.393313,-96.47072,-95.87114100000001,571327
2266,Delaware,42045,39.801919,40.066196000000005,-75.60154,-75.211463,566747
1219,Bristol,25005,41.416729,42.095698999999996,-71.3817,-70.752424,565217
317,New Castle,10003,39.290281,39.839515999999996,-75.789023,-75.40541400000001,558753
1793,Union,34039,40.591903,40.739228999999995,-74.463351,-74.136703,556341
370,Pasco,12101,28.171034000000002,28.478837,-82.908311,-82.054694,553947
383,Volusia,12127,28.612662,29.432462,-81.680903,-80.663461,553284
235,Stanislaus,6099,37.134774,38.077421,-121.486775,-120.38732900000001,550660
1375,Ramsey,27123,44.887399,45.124533,-93.227903,-92.98419200000001,550321
3060,Dane,55025,42.844995000000004,43.29419,-89.839212,-89.008729,546695
2279,Lancaster,42071,39.721131,40.315971000000005,-76.72162,-75.873375,545724
2119,Summit,39153,40.906504,41.351133000000004,-81.688491,-81.391532,541013
1930,Guilford,37081,35.899627,36.257515000000005,-80.04695500000001,-79.532365,537174
639,Kane,17089,41.719563,42.154352,-88.602422,-88.23787800000001,532403
2099,Montgomery,39113,39.577983,39.92297,-84.485653,-84.051039,531687
2258,Chester,42029,39.721146999999995,40.245125,-76.13667199999999,-75.361042,524989
2338,Greenville,45045,34.484002000000004,35.215540000000004,-82.764464,-82.146792,523542
2985,Spokane,53063,47.259271999999996,48.047865,-117.823695,-117.039791,522798
1228,Plymouth,25023,41.565851,42.375098,-71.080483,-70.32252199999999,521202
244,Adams,8001,39.738002,40.001478000000006,-105.053339,-103.70569499999999,517421
974,Sedgwick,20173,37.474184,37.912733,-97.808358,-97.15214499999999,516042
1777,Camden,34007,39.608288,39.996081,-75.139832,-74.73630899999999,506471
1789,Passaic,34031,40.819962,41.202894,-74.502892,-74.106786,501826
234,Sonoma,6097,38.07326,38.852916,-123.632497,-122.347454,494336
1787,Morris,34027,40.649516,41.086002,-74.889753,-74.266638,491845
865,Polk,19153,41.481770000000004,41.863469,-93.815784,-93.328407,490161
2959,Clark,53011,45.543541,46.059632,-122.79596299999999,-122.24472,488241
741,Lake,18089,41.162186,41.760889,-87.52675699999999,-87.218812,485493
551,Ada,16001,43.112238,43.80747,-116.514055,-115.97423899999998,481587
1870,Richmond,36085,40.477399,40.651812,-74.25909,-74.034547,476143
378,Seminole,12117,28.610277000000004,28.879227,-81.459701,-80.986868,471826
1761,Washoe,32031,39.165509,41.997544,-120.006473,-119.17054399999999,471519
2892,Prince William,51153,38.499672,38.942822,-77.715591,-77.21898900000001,470335
2474,Knox,47093,35.793806,36.186479,-84.27346999999999,-83.65091,470313
1223,Hampden,25013,41.997595000000004,42.343868,-73.075117,-72.134928,466372
239,Tulare,6107,35.789161,36.744816,-119.573194,-117.98076100000002,466195
107,Pinal,4021,32.501202,33.466104,-112.203736,-110.44835400000001,462789
1861,Onondaga,36067,42.771257,43.271605,-76.499324,-75.896079,460528
2950,Virginia Beach,51810,36.550453000000005,37.040886,-76.22776,-75.79749699999999,449974
2310,York,42133,39.719799,40.226328,-77.137425,-76.23869,449058
233,Solano,6095,38.031721000000005,38.53905,-122.40699,-121.593273,447643
227,Santa Barbara,6083,33.411024,35.114678000000005,-120.73438200000001,-118.962728,446499
1776,Burlington,34005,39.540836999999996,40.184235,-75.059913,-74.38979,445349
1129,East Baton Rouge,22033,30.312469,30.719310999999998,-91.316565,-90.844181,440059
212,Monterey,6053,35.788977,36.919683,-122.051878,-120.21397900000001,434061
377,Sarasota,12115,26.945255,27.389739000000002,-82.705438,-82.056497,433742
1138,Jefferson,22051,29.125171,30.230888,-90.28029599999999,-89.899664,432493
1332,Dakota,27037,44.471149,44.923287,-93.329796,-92.73189,429021
2090,Lucas,39095,41.414134999999995,41.95941,-83.883234,-82.995572,428348
2553,Cameron,48061,25.837164,26.413108,-97.86229399999999,-97.08934,423163
2249,Berks,42011,40.137107,40.67727,-76.44018100000001,-75.52969399999999,421164
2210,Clackamas,41005,44.885714,45.461674,-122.868113,-121.65171399999998,418187
1769,Hillsborough,33011,42.696985,43.207263,-72.062374,-71.245504,417025
2355,Richland,45079,33.743237,34.26876,-81.34532800000001,-80.596205,415759
2872,Loudoun,51107,38.846368,39.324558,-77.961956,-77.32831800000001,413538
48,Mobile,1097,30.144425,31.173306,-88.432007,-87.92394399999999,413210
2325,Charleston,45019,32.482565,33.215136,-80.45363,-79.26183,411406
1255,Genesee,26049,42.780821,43.223131,-83.932071,-83.45329699999999,405813
3115,Waukesha,55133,42.841356,43.196048,-88.542277,-88.063353,404198
359,Manatee,12081,27.207769,27.64668,-82.823029,-82.054349,403253
1574,St. Charles,29183,38.534134,38.967769,-90.964461,-90.109107,402022
216,Placer,6061,38.711502,39.316496,-121.48444199999999,-120.00246100000001,398329
170,Pulaski,5119,34.489352000000004,35.014484,-92.755452,-92.029507,391911
1148,Orleans,22071,29.866660999999997,30.199332000000002,-90.140074,-89.62505300000001,390144
1863,Orange,36071,41.142883000000005,41.632738,-74.762623,-73.947294,384940
330,Collier,12021,25.769451999999998,26.517069,-81.905501,-80.872748,384902
2051,Butler,39017,39.292284,39.591024,-84.81945,-84.332038,383134
1923,Forsyth,37067,35.973208,36.261635,-80.51642,-80.03554,382295
2227,Lane,41039,43.437142,44.290548,-124.230231,-121.767375,382067
698,Allen,18003,40.916431,41.271273,-85.338552,-84.802922,379299
368,Osceola,12097,27.641990000000003,28.348584000000002,-81.657268,-80.861395,375751
2542,Brazoria,48039,28.764837,29.599103999999997,-95.87402800000001,-95.056499,374264
44,Madison,1089,34.475633,34.992339,-86.790056,-86.255771,372909
